매장_id,품목_id,기간,창고_입고량
ST_102,IT_101,2023.12.1,0
ST_102,IT_101,2023.12.2,0
ST_102,IT_101,2023.12.3,0
ST_102,IT_101,2023.12.4,0
ST_102,IT_101,2023.12.5,0
ST_102,IT_102,2023.12.1,0
ST_102,IT_102,2023.12.2,0
ST_102,IT_102,2023.12.3,0
ST_102,IT_102,2023.12.4,0
ST_102,IT_102,2023.12.5,0
ST_102,IT_103,2023.12.1,2000
ST_102,IT_103,2023.12.2,0
ST_102,IT_103,2023.12.3,0
ST_102,IT_103,2023.12.4,0
ST_102,IT_103,2023.12.5,0
ST_102,IT_104,2023.12.1,0
ST_102,IT_104,2023.12.2,0
ST_102,IT_104,2023.12.3,0
ST_102,IT_104,2023.12.4,0
ST_102,IT_104,2023.12.5,0
ST_102,IT_105,2023.12.1,6000
ST_102,IT_105,2023.12.2,0
ST_102,IT_105,2023.12.3,0
ST_102,IT_105,2023.12.4,0
ST_102,IT_105,2023.12.5,0
ST_102,IT_106,2023.12.1,0
ST_102,IT_106,2023.12.2,0
ST_102,IT_106,2023.12.3,0
ST_102,IT_106,2023.12.4,0
ST_102,IT_106,2023.12.5,0
ST_102,IT_107,2023.12.1,7000
ST_102,IT_107,2023.12.2,0
ST_102,IT_107,2023.12.3,0
ST_102,IT_107,2023.12.4,0
ST_102,IT_107,2023.12.5,0
ST_102,IT_108,2023.12.1,0
ST_102,IT_108,2023.12.2,0
ST_102,IT_108,2023.12.3,0
ST_102,IT_108,2023.12.4,0
ST_102,IT_108,2023.12.5,0
ST_102,IT_109,2023.12.1,0
ST_102,IT_109,2023.12.2,0
ST_102,IT_109,2023.12.3,0
ST_102,IT_109,2023.12.4,0
ST_102,IT_109,2023.12.5,0
ST_102,IT_110,2023.12.1,0
ST_102,IT_110,2023.12.2,0
ST_102,IT_110,2023.12.3,0
ST_102,IT_110,2023.12.4,0
ST_102,IT_110,2023.12.5,0
ST_102,IT_111,2023.12.1,17000
ST_102,IT_111,2023.12.2,0
ST_102,IT_111,2023.12.3,0
ST_102,IT_111,2023.12.4,0
ST_102,IT_111,2023.12.5,0
ST_102,IT_112,2023.12.1,10000
ST_102,IT_112,2023.12.2,0
ST_102,IT_112,2023.12.3,0
ST_102,IT_112,2023.12.4,0
ST_102,IT_112,2023.12.5,0
ST_102,IT_113,2023.12.1,0
ST_102,IT_113,2023.12.2,0
ST_102,IT_113,2023.12.3,0
ST_102,IT_113,2023.12.4,0
ST_102,IT_113,2023.12.5,0
ST_102,IT_114,2023.12.1,10000
ST_102,IT_114,2023.12.2,0
ST_102,IT_114,2023.12.3,0
ST_102,IT_114,2023.12.4,0
ST_102,IT_114,2023.12.5,0
ST_102,IT_115,2023.12.1,0
ST_102,IT_115,2023.12.2,0
ST_102,IT_115,2023.12.3,0
ST_102,IT_115,2023.12.4,0
ST_102,IT_115,2023.12.5,0
ST_102,IT_116,2023.12.1,0
ST_102,IT_116,2023.12.2,0
ST_102,IT_116,2023.12.3,0
ST_102,IT_116,2023.12.4,0
ST_102,IT_116,2023.12.5,0
ST_102,IT_117,2023.12.1,0
ST_102,IT_117,2023.12.2,0
ST_102,IT_117,2023.12.3,0
ST_102,IT_117,2023.12.4,0
ST_102,IT_117,2023.12.5,0
ST_102,IT_118,2023.12.1,1000
ST_102,IT_118,2023.12.2,0
ST_102,IT_118,2023.12.3,0
ST_102,IT_118,2023.12.4,0
ST_102,IT_118,2023.12.5,0
ST_102,IT_119,2023.12.1,0
ST_102,IT_119,2023.12.2,0
ST_102,IT_119,2023.12.3,0
ST_102,IT_119,2023.12.4,0
ST_102,IT_119,2023.12.5,0
ST_102,IT_120,2023.12.1,0
ST_102,IT_120,2023.12.2,0
ST_102,IT_120,2023.12.3,0
ST_102,IT_120,2023.12.4,0
ST_102,IT_120,2023.12.5,0
ST_102,IT_121,2023.12.1,0
ST_102,IT_121,2023.12.2,0
ST_102,IT_121,2023.12.3,0
