매장_id,품목_id,기간,매장_발주량
ST_103,IT_101,2023.12.1,0
ST_103,IT_101,2023.12.2,0
ST_103,IT_101,2023.12.3,0
ST_103,IT_101,2023.12.4,0
ST_103,IT_101,2023.12.5,0
ST_103,IT_102,2023.12.1,1000
ST_103,IT_102,2023.12.2,0
ST_103,IT_102,2023.12.3,0
ST_103,IT_102,2023.12.4,0
ST_103,IT_102,2023.12.5,0
ST_103,IT_103,2023.12.1,1000
ST_103,IT_103,2023.12.2,0
ST_103,IT_103,2023.12.3,0
ST_103,IT_103,2023.12.4,0
ST_103,IT_103,2023.12.5,0
ST_103,IT_104,2023.12.1,0
ST_103,IT_104,2023.12.2,0
ST_103,IT_104,2023.12.3,0
ST_103,IT_104,2023.12.4,0
ST_103,IT_104,2023.12.5,0
ST_103,IT_105,2023.12.1,1000
ST_103,IT_105,2023.12.2,0
ST_103,IT_105,2023.12.3,0
ST_103,IT_105,2023.12.4,0
ST_103,IT_105,2023.12.5,0
ST_103,IT_106,2023.12.1,0
ST_103,IT_106,2023.12.2,0
ST_103,IT_106,2023.12.3,0
ST_103,IT_106,2023.12.4,0
ST_103,IT_106,2023.12.5,0
ST_103,IT_107,2023.12.1,1000
ST_103,IT_107,2023.12.2,0
ST_103,IT_107,2023.12.3,0
ST_103,IT_107,2023.12.4,0
ST_103,IT_107,2023.12.5,0
ST_103,IT_108,2023.12.1,0
ST_103,IT_108,2023.12.2,0
ST_103,IT_108,2023.12.3,0
ST_103,IT_108,2023.12.4,0
ST_103,IT_108,2023.12.5,0
ST_103,IT_109,2023.12.1,0
ST_103,IT_109,2023.12.2,0
ST_103,IT_109,2023.12.3,0
ST_103,IT_109,2023.12.4,0
ST_103,IT_109,2023.12.5,0
ST_103,IT_110,2023.12.1,0
ST_103,IT_110,2023.12.2,0
ST_103,IT_110,2023.12.3,0
ST_103,IT_110,2023.12.4,0
ST_103,IT_110,2023.12.5,0
ST_103,IT_111,2023.12.1,1000
ST_103,IT_111,2023.12.2,0
ST_103,IT_111,2023.12.3,0
ST_103,IT_111,2023.12.4,0
ST_103,IT_111,2023.12.5,0
ST_103,IT_112,2023.12.1,500
ST_103,IT_112,2023.12.2,0
ST_103,IT_112,2023.12.3,0
ST_103,IT_112,2023.12.4,0
